y_arma11,y_arma14,y_arma41,y_arma22,y_arma50,y_arma02,y_arma11c,y_arma14c,y_arma41c,y_arma22c,y_arma50c,y_arma02c
-2.047076594847129505e-01,1.394072226185005814e+00,-7.618372133529949242e-01,-4.064523617925941412e-01,-9.835047173983663127e-01,6.143504692328910499e-01,4.259432631872511976e+00,6.738236941732065333e+00,3.921172305736134511e+00,4.841410872820988587e+00,3.567921955380871424e+00,5.020264181479198839e+00
2.537649126243639586e-01,4.567375047627768581e-01,-1.169637832882710837e+00,-2.904655508294423649e-01,1.933152260847050830e-01,6.429869148939288959e-01,4.398428009976181663e+00,7.368314202772689114e+00,5.710735793018799633e+00,4.558666615338087702e+00,5.627433726992007834e+00,4.271942218168720551e+00
-1.614848622683232593e-01,-1.272326703442733020e+00,-2.554150415613765990e+00,4.377894222244522737e-01,-3.224625683687642463e-01,-5.829343493568055479e-01,3.894220064383869140e+00,6.410706525591642446e+00,6.653104231835761162e+00,4.369696549146111941e+00,5.441687121317324127e+00,3.719432040526521988e+00
-8.586475013185908001e-01,-9.458320913213407177e-01,-1.416810339850927303e+00,1.292133237669666368e+00,-2.434714935535151170e+00,3.225999093088858238e-01,4.254945463650283699e+00,6.774751472682821074e+00,5.813209651463687067e+00,4.848351385863497676e+00,3.693440719499076152e+00,5.799271295947738381e+00
1.127289339992149531e+00,-6.883717809906886309e-02,-2.004237998790744379e-01,1.802924788488173835e+00,-1.990610824223469688e+00,-4.553547958839088139e-02,4.888509710140729325e+00,4.026927273300911381e+00,5.506526563168436361e+00,4.708763021171975538e+00,2.747097130265434117e+00,5.199862796144467225e+00
2.926896038343052453e+00,-8.584562919036571316e-01,-1.274069813257600048e+00,-3.157042843910953245e-01,-2.664447937057306537e-01,5.833794675456231982e-01,6.113454539016629496e+00,2.075139727032464076e+00,6.999617863858643929e+00,4.004972492948537521e+00,4.783782184444534735e+00,5.428226532398704229e+00
2.775771947041553389e+00,-1.796823860810985218e+00,-3.435812286850086217e+00,3.328747540357390733e-02,1.713166700014398525e-01,1.287328621636036230e+00,5.768913584533245320e+00,5.364144882553992133e+00,6.220457380072277331e+00,3.279857874780836013e+00,4.382208504444793817e+00,5.760983622424916462e+00
2.396092869971668371e+00,-1.374140342963602990e+00,-3.324410934220093150e+00,6.241378334643329362e-01,-1.008235022896845523e+00,-2.571874757040344406e-01,6.783227456396678789e+00,6.453556693243497122e+00,4.760031787665699454e+00,1.397159712575776425e+00,3.955895170740390210e+00,4.892141935490703197e+00
2.664703373581160939e+00,-2.274295006054620760e+00,2.847437087200943573e-01,-1.677062469844210035e+00,1.071593491473754156e+00,5.943089576180543565e-02,8.764846998978599757e+00,3.134175247222279470e+00,4.618905799269997559e+00,3.832999293510881422e+00,4.169523377113049989e+00,4.820177423393641192e+00
3.514120165236296778e+00,-1.695939107720390027e+00,5.749749943751869541e-01,-1.372251161366488947e+00,1.414936450756299369e+00,8.067203104089537558e-02,6.664487842459541511e+00,2.089710848527895237e+00,7.375027854593720456e+00,8.576140496669221847e+00,6.748639486536131216e+00,2.669498198821129265e+00
